Kepler ID,KOI Name,Kepler Disposition,NExScI Disposition,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination,Transit Model,Transit Model SNR,Transit Model DOF,Transit Model chisq,Last vet Update,,,
integer,string,string,string,ra,dec,double,double,real,double,double,float,float,float,real,float,float,float,float,integer,integer,float,float,float,float,float,string,string,integer,integer,float,string,real,float,float,datetime,,,
5649833,K02799.01,FALSE POSITIVE,FALSE POSITIVE,19 56 18.918,+40 49 56.25,131.95439,0.5979336,306,2.0759,,0.18,85.37,0.015,0,,0.016,2.28,1.98,2537,6540,4.39,,1.16,1.22,0.28,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),102,,1.51,10/25/13 0:00
5649836,K03831.01,FALSE POSITIVE,FALSE POSITIVE,19 56 19.006,+40 49 44.31,131.9937,0.5979044,14117,1.992,2.8,0.98,49.7,0.014,0,,0.182,1.516,19.9,2163.4,,,,1,,,,,704,1,0.55,mandel-agol_geometric_transit_model,97.6,8911.43,7614.7,7/31/13 0:00,,,
5649837,K04078.01,FALSE POSITIVE,FALSE POSITIVE,19 56 19.065,+40 49 32.31,131.94911,0.597948,307,0.962,0.06,0.85,71,0.014,0,,0.018,2.7,1.94,2221,,,,0.969,,,,,1634,1,1,mandel-agol_geometric_transit_model,22.8,9415.23,8154.59,9/5/13 0:00,,,
5649956,K01540.01,FALSE POSITIVE,FALSE POSITIVE,19 56 24.785,+40 50 57.48,178.21347,1.20785347,50767,4.1629,,1.054,62.45,0.022,0,,0.376,2.288,36,1568,5656,4.52,,0.87,0.917,3.8,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),1191.7,,4.72,10/25/13 0:00
5650314,K03731.01,FALSE POSITIVE,FALSE POSITIVE,19 56 40.950,+40 52 15.81,131.81755,1.07030445,18639,3.401,3.18,0.956,56.75,0.018,0,,0.2,1.743,14.22,1178.9,,,,0.653,,,,,726,1,0.783,mandel-agol_geometric_transit_model,295.5,17174.8,18975.88,7/31/13 0:00,,,
5651104,K00840.01,FALSE POSITIVE,FALSE POSITIVE,19 57 15.864,+40 49 20.57,169.94833,3.0403293,9577,1.8021,,0.714,85.94,0.037,0,,0.097,10.8,7.7,979,5004,4.58,,0.73,0.731,13.9,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),867.6,,2.61,10/25/13 0:00
5651829,K04778.01,FALSE POSITIVE,FALSE POSITIVE,19 57 51.658,+40 53 27.92,132.2114,0.772136,39.3,1.14,0.009,0.5,84,0.018,0,,0.006,4.5,1.5,3030,,,,2.319,,,,,1264,1,1,mandel-agol_geometric_transit_model,9.8,9075.34,7457.28,7/31/13 0:00,,,
5651846,K04827.01,CANDIDATE,CANDIDATE,19 57 52.485,+40 49 47.96,153.8336,31.19171,449,3.1,0.2,0.8,89,0.191,0,,0.022,46,2,535,,,,0.855,,,,,33,1,0.324,mandel-agol_geometric_transit_model,8.3,673.6,553.76,7/31/13 0:00,,,
5652237,K00164.01,FALSE POSITIVE,FALSE POSITIVE,19 58 10.503,+40 51 36.94,132.3151,4.4645483,265,3.0312,,0.03,89.95,0.057,0,,0.015,11.85,3.2,1601,6098,3.91,,2.02,1.22,4.7,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),57.1,,2.07,10/25/13 0:00
5652260,K03703.01,FALSE POSITIVE,FALSE POSITIVE,19 58 11.265,+40 51 40.58,132.2977,4.4646302,100656,4.164,2.9,0.86,84.55,0.053,0,,0.398,9.038,34.5,941,,,,0.794,,,,,60,1,0,mandel-agol_geometric_transit_model,235.9,1319.64,2330.42,7/31/13 0:00,,,
5652893,K02790.01,CANDIDATE,CANDIDATE,19 58 38.306,+40 50 37.86,132.9717,14.009463,174,3.4702,,0.2,89.38,0.106,0,,0.012,31,0.94,600,5188,4.62,,0.73,0.808,3,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),23.7,,1.01,10/25/13 0:00
5652983,K00371.01,CANDIDATE,CANDIDATE,19 58 42.275,+40 51 23.37,244.0803,498.3928,1604,6.7907,,1.26,89.38,1.361,0,,0.3,186,84,316,5215,3.75,,2.58,1.35,4,SPC,,,1,,Mandel and Agol (2002, ApJ,580, 171),68.1,,1.12,10/25/13 0:00
5653072,K03252.01,FALSE POSITIVE,FALSE POSITIVE,19 58 45.901,+40 51 21.45,132.5005,3.224723,38.7,4.31,0.12,0.87,72,0.043,0,,0.007,2.9,0.72,1233.6,,,,1,,,,,305,1,0.508,mandel-agol_geometric_transit_model,4.5,5952.87,5231.13,7/31/13 0:00,,,
5653849,K03711.01,FALSE POSITIVE,FALSE POSITIVE,19 59 23.035,+40 50 43.12,161.9395,111.03886,10021,25.98,7.29,0.848,87.9,0.428,0,,0.106,23.16,11.284,370,,,,0.98,,,,,9,1,0,mandel-agol_geometric_transit_model,235.8,1258.64,2307.26,7/31/13 0:00,,,
5683743,K00412.01,CANDIDATE,CANDIDATE,18 53 01.824,+40 59 25.80,170.32524,4.1470198,3184,2.9389,,0.5,87.09,0.049,0,,0.053,10,6.6,1238,5781,4.28,,1.16,0.93,10.2,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),407.7,,1.17,10/25/13 0:00
5686174,K00610.01,CANDIDATE,CANDIDATE,18 57 54.836,+40 55 59.17,180.845,14.282318,992,2.5173,,0.63,88.81,0.096,0,,0.03,35,1.79,443,4208,4.72,,0.546,0.574,13.9,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),51.4,,1.62,10/25/13 0:00
5687700,K04587.01,CANDIDATE,CANDIDATE,19 00 53.796,+40 57 32.15,131.8054,6.362852,193,3.73,0.1,0,88,0.068,0,,0.013,12,1.3,974,,,,0.927,,,,,123,1,0.75,mandel-agol_geometric_transit_model,9,2497.27,1864.73,7/31/13 0:00,,,
5688683,K04097.01,CANDIDATE,CANDIDATE,19 02 45.600,+40 59 40.31,133.1487,2.7906787,173,1.12,1,0.99,78,0.033,0,,0.023,4.7,1.4,802,,,,0.571,,,,,280,2,0.522,mandel-agol_geometric_transit_model,16.2,2025.97,1723.05,6/6/13 0:00,,,
5688683,K04097.02,CANDIDATE,CANDIDATE,19 02 45.600,+40 59 40.31,131.7418,4.449108,86,1.56,0.014,0.3,89,0.045,0,,0.008,21,0.52,686,,,,0.571,,,,,172,2,0.785,mandel-agol_geometric_transit_model,7.9,1187.65,1020.52,7/31/13 0:00,,,
5688790,K03144.01,CANDIDATE,CANDIDATE,19 02 57.554,+40 58 48.18,540.041,8.07392,995,2.2922,,0.18,89.38,0.062,0,,0.029,27,2.1,532,3679,4.48,,0.67,0.49,,KIC,,,1,,Mandel and Agol (2002, ApJ,580, 171),12,,0.86,10/25/13 0:00
5688910,K02856.01,CANDIDATE,CANDIDATE,19 03 11.338,+40 56 10.25,143.2759,25.87333,758,5.6494,,0.26,89.38,0.171,0,,0.025,35,2.9,660,5987,4.38,,1.07,1,5.3,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),19,,1.04,10/25/13 0:00
5688997,K03784.01,CANDIDATE,CANDIDATE,19 03 22.031,+40 55 31.62,137.057,23.86779,6196,2.7,0.2,0,89.7,0.167,0,,0.073,69,9.6,684.8,,,,1.216,,,,,4,1,0.698,mandel-agol_geometric_transit_model,83.2,50.24,84.71,7/31/13 0:00,,,
5689351,K00505.01,CANDIDATE,CANDIDATE,19 03 59.971,+40 55 09.55,174.8101,13.767145,671,3.1803,,0.921,86.52,0.109,0,,0.03,15.2,6.04,923,5058,3.86,,1.86,0.918,13.8,Pinsonneault,,,5,,Mandel and Agol (2002, ApJ,580, 171),51.7,,1.06,10/25/13 0:00
5689351,K00505.02,CANDIDATE,CANDIDATE,19 03 59.971,+40 55 09.55,134.7089,6.195544,237,3.012,,0.844,84.8,0.064,0,,0.016,8.9,3.3,1204,5058,3.86,,1.86,0.918,13.8,Pinsonneault,,,5,,Mandel and Agol (2002, ApJ,580, 171),29.7,,2.94,10/25/13 0:00
5689351,K00505.03,CANDIDATE,CANDIDATE,19 03 59.971,+40 55 09.55,133.6885,3.250641,225,2.1471,,0.887,81.36,0.042,0,,0.016,5.8,3.35,1487,5058,3.86,,1.86,0.918,13.8,Pinsonneault,,,5,,Mandel and Agol (2002, ApJ,580, 171),27.7,,1.13,10/25/13 0:00
5689351,K00505.04,CANDIDATE,CANDIDATE,19 03 59.971,+40 55 09.55,136.841,8.34811,278,2.8473,,0.895,85.37,0.078,0,,0.018,10.9,3.76,1091,5058,3.86,,1.86,0.918,13.8,Pinsonneault,,,5,,Mandel and Agol (2002, ApJ,580, 171),27.3,,1.23,10/25/13 0:00
5689351,K00505.05,CANDIDATE,CANDIDATE,19 03 59.971,+40 55 09.55,187.3166,87.09086,1087,6.9736,,0.88,88.81,0.374,0,,0.036,52,7.32,498,5058,3.86,,1.86,0.918,13.8,Pinsonneault,,,5,,Mandel and Agol (2002, ApJ,580, 171),57.6,,1.13,10/25/13 0:00
5695396,K00283.01,CANDIDATE,CANDIDATE,19 14 07.398,+40 56 32.28,170.59854,16.091941,445,2.9258,,0.78,88.24,0.126,0,,0.021,28,2.41,719,5687,4.42,,1.034,1.021,5.3,SME,,,2,,Mandel and Agol (2002, ApJ,580, 171),159.9,,1.13,10/25/13 0:00
5695396,K00283.02,CANDIDATE,CANDIDATE,19 14 07.398,+40 56 32.28,154.4205,25.51704,68,5.0204,,0.27,89.38,0.171,0,,0.007,38,0.84,617,5687,4.42,,1.034,1.021,5.3,SME,,,2,,Mandel and Agol (2002, ApJ,580, 171),25.7,,1.07,10/25/13 0:00
5695524,K01897.01,CANDIDATE,CANDIDATE,19 14 17.864,+40 59 19.17,148.9702,59.77049,571,4.2181,,0.52,89.95,0.307,0,,0.022,95,2.7,516,6190,4.39,,1.09,1.08,2.5,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),42.6,,0.97,10/25/13 0:00
5695615,K04756.01,CANDIDATE,CANDIDATE,19 14 26.536,+40 55 29.06,133.8217,5.416675,135,2.82,0.03,0,89,0.063,0,,0.011,15,1.3,1155,,,,1.078,,,,,175,1,0.767,mandel-agol_geometric_transit_model,8.4,2690.13,2147.28,6/6/13 0:00,,,
5695904,K02983.01,FALSE POSITIVE,FALSE POSITIVE,19 14 52.749,+40 59 10.11,132.18983,0.42385469,240,1.0099,,0.75,69.9,0.009,0,,0.016,2.2,0.88,1275,3874,4.75,,0.501,0.518,14,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),35.1,,1.15,10/25/13 0:00
5696918,K04594.01,FALSE POSITIVE,FALSE POSITIVE,19 16 17.717,+40 58 39.11,132.0086,0.642999,62,0.9,0.08,0.95,60,0.012,0,,0.009,1.9,0.53,1189,,,,0.525,,,,,1518,1,0.942,mandel-agol_geometric_transit_model,8.8,9147.56,7519.9,9/5/13 0:00,,,
5700900,K04100.01,FALSE POSITIVE,FALSE POSITIVE,19 21 14.495,+40 58 53.15,287.424,379.157,1099,16.3,0.5,0.3,89.9,1.033,0,,0.03,177,3.1,248,,,,0.918,,,,,3,1,0.299,mandel-agol_geometric_transit_model,10,256.57,281.09,7/31/13 0:00,,,
5702637,K04217.01,FALSE POSITIVE,FALSE POSITIVE,19 23 27.854,+40 54 05.69,132.3935,1.0388699,222,3,0.04,0,89,0.022,0,,0.014,2.7,2.03,2414,,,,1.347,,,,,945,1,0.924,mandel-agol_geometric_transit_model,11.8,16313.98,11863.95,7/31/13 0:00,,,
5702939,K03000.01,FALSE POSITIVE,FALSE POSITIVE,19 23 53.335,+40 59 40.84,144.8759,18.39902,125,3.8671,,0.26,89.38,0.137,0,,0.01,35,1.03,686,5945,4.5,,0.94,1.009,1.6,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),14,,1.54,10/25/13 0:00
5705819,K02091.01,CANDIDATE,CANDIDATE,19 27 39.089,+40 57 14.01,138.4874,8.77988,745,3.8272,,0.938,83.08,0.077,0,,0.032,7.62,2.55,698,5159,4.62,,0.72,0.798,3.6,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),36.3,,1.1,10/25/13 0:00
5706595,K02183.01,CANDIDATE,CANDIDATE,19 28 41.074,+40 54 58.71,139.6484,19.02339,382,3.8962,,0.751,88.24,0.139,0,,0.02,25.7,1.88,648,5836,4.54,,0.88,0.988,0.4,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),25.1,,1.56,10/25/13 0:00
5706595,K02183.02,CANDIDATE,CANDIDATE,19 28 41.074,+40 54 58.71,135.1005,4.579497,213,3.5654,,0.029,89.95,0.054,0,,0.013,10,1.27,1040,5836,4.54,,0.88,0.988,0.4,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),22.4,,1.19,10/25/13 0:00
5706966,K01908.01,CANDIDATE,CANDIDATE,19 29 08.657,+40 54 48.92,137.2651,12.55096,510,3.1628,,0.79,87.66,0.089,0,,0.023,19.8,1.44,486,4347,4.7,,0.571,0.601,14,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),42.7,,1.2,10/25/13 0:00
5706966,K01908.02,CANDIDATE,CANDIDATE,19 29 08.657,+40 54 48.92,134.425,24.08826,340,4.0304,,0.77,88.81,0.138,0,,0.019,31,1.16,390,4347,4.7,,0.571,0.601,14,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),24.3,,1.03,10/25/13 0:00
5709725,K00555.01,CANDIDATE,CANDIDATE,19 32 29.619,+40 56 05.17,172.4494,3.70173,250,2.4796,,0.257,88.81,0.044,0,,0.014,11.21,1.41,1048,5245,4.458,,0.903,0.854,12.3,SME,,,2,,Mandel and Agol (2002, ApJ,580, 171),38.3,,1.39,10/25/13 0:00
5709725,K00555.02,CANDIDATE,CANDIDATE,19 32 29.619,+40 56 05.17,181.8966,86.4926,927,7.4094,,0.02,89.95,0.363,0,,0.027,91.6,2.68,365,5245,4.458,,0.903,0.854,12.3,SME,,,2,,Mandel and Agol (2002, ApJ,580, 171),51,,0.91,10/25/13 0:00
5709889,K02783.01,FALSE POSITIVE,FALSE POSITIVE,19 32 41.030,+40 59 44.12,131.86486,0.5268877,161,1.2893,,0.025,89.38,0.011,0,,0.011,3.06,0.66,1317,4227,4.72,,0.549,0.578,13.9,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),37.1,,1.15,10/25/13 0:00
5709906,K04744.01,CANDIDATE,CANDIDATE,19 32 41.843,+40 57 02.91,134.1276,3.391526,34.5,3.54,0.2,0.94,69,0.044,0,,0.007,2.7,0.65,1167,,,,0.895,,,,,288,1,0.861,mandel-agol_geometric_transit_model,7.7,4679.76,3778.91,6/6/13 0:00,,,
5710069,K03396.01,CANDIDATE,CANDIDATE,19 32 53.855,+40 55 54.95,146.815,36.26017,424,5.7,0.1,0,90,0.213,0,,0.019,47,1.8,518,,,,0.872,,,,,22,1,0.932,mandel-agol_geometric_transit_model,10.9,733.33,559.63,6/6/13 0:00,,,
5716763,K00272.01,FALSE POSITIVE,FALSE POSITIVE,19 40 24.272,+40 59 12.04,169.66649,1.28132233,504,0.8796,,0.966,73.91,0.023,0,,0.03,3.47,3,1672,5975,4.52,,0.93,1.03,0.3,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),159.9,,1.2,10/25/13 0:00
5716932,K02358.01,CANDIDATE,CANDIDATE,19 40 33.384,+40 58 44.62,143.9855,56.4943,316,8.5341,,0.8,88.81,0.305,0,,0.018,31.8,2.19,542,6428,4.42,,1.11,1.18,0.32,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),39.2,,1.26,10/25/13 0:00
5717567,K02752.01,FALSE POSITIVE,FALSE POSITIVE,19 41 17.761,+40 54 07.89,132.4287,1.2876248,50,0.8978,,0.84,81.93,0.024,0,,0.008,6.2,0.93,1844,6107,4.36,,1.12,1.05,4.2,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),21.4,,1.03,10/25/13 0:00
5725087,K00033.01,FALSE POSITIVE,FALSE POSITIVE,19 47 52.295,+40 55 36.37,133.56031,0.36619622,327,1.1446,,0.25,84.22,0.006,0,,0.017,2.52,0.49,959,3240,4.897,,0.27,0.21,,J-K,,,1,,Mandel and Agol (2002, ApJ,580, 171),61.5,,1.31,10/25/13 0:00
5726910,K04124.01,FALSE POSITIVE,FALSE POSITIVE,19 49 24.668,+40 57 29.31,133.8248,2.43149,161,3.2,1.6,1,39,0.035,0,,0.024,1.29,2.8,1426,,,,1.071,,,,,404,1,0.998,mandel-agol_geometric_transit_model,14.9,4986.38,3825.52,9/12/13 0:00,,,
5728139,K00206.01,CANDIDATE,CANDIDATE,19 50 22.478,+40 58 38.16,131.98071,5.3340867,4728,6.4086,,0.514,84.8,0.06,0,,0.065,5.976,8.1,1164,6045,4.33,,1.14,1.02,5.5,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),892.1,,1.29,10/25/13 0:00
5728283,K01011.01,FALSE POSITIVE,FALSE POSITIVE,19 50 28.865,+40 56 35.12,183.3724,6.1982738,55117,7.5195,,0.026,89.95,0.067,0,,0.209,8.093,22,1008,6052,4.5,,0.96,1.06,0.3,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),3514.1,,7.65,10/25/13 0:00
5730389,K01956.01,FALSE POSITIVE,FALSE POSITIVE,19 52 14.568,+40 57 38.64,131.7179,2.7595592,467,4.8342,,0.03,89.38,0.037,0,,0.019,4.48,1.8,1202,5629,4.52,,0.87,0.907,4.4,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),90.3,,1.87,10/25/13 0:00
5730394,K03603.01,FALSE POSITIVE,FALSE POSITIVE,19 52 14.854,+40 57 26.25,131.7017074,2.759607077,229510,4.5,0.884244,0.1,89.01,0.039,0,,0.242,5.8,29.82,1223.3,,,,1.129,,,,,0,1,-1,mandel-agol_geometric_transit_model,,,,7/31/13 0:00,,,
5730445,K02189.01,CANDIDATE,CANDIDATE,19 52 17.937,+40 56 56.36,137.576,33.35816,1779,2.5559,,1.43,87.66,0.199,0,,0.47,34,57,504,4825,4.32,,1.11,0.94,,KIC,,,1,,Mandel and Agol (2002, ApJ,580, 171),43.2,,0.99,10/25/13 0:00
5731623,K01793.01,CANDIDATE,CANDIDATE,19 53 16.018,+40 59 45.96,131.77849,3.261758,3939,1.886,,1.24,77.35,0.044,0,,0.3,5.6,32,1218,5876,4.5,,0.97,1.08,,KIC,,,1,,Mandel and Agol (2002, ApJ,580, 171),197.2,,1.03,10/25/13 0:00
5735762,K00148.01,CANDIDATE,CONFIRMED,19 56 33.413,+40 56 56.47,124.063,4.777981,520,3.582,,0.675,84.8,0.053,0,,0.022,7.86,2.14,937,5190,4.49,,0.888,0.883,9.4,SME,,,3,,Mandel and Agol (2002, ApJ,580, 171),102.8,,2.31,10/25/13 0:00
5735762,K00148.02,CANDIDATE,CONFIRMED,19 56 33.413,+40 56 56.47,125.33981,9.673928,1091,4.4,,0.712,86.52,0.085,0,,0.032,12.6,3.15,740,5190,4.49,,0.888,0.883,9.4,SME,,,3,,Mandel and Agol (2002, ApJ,580, 171),187.2,,5.98,10/25/13 0:00
5735762,K00148.03,CANDIDATE,CANDIDATE,19 56 33.413,+40 56 56.47,146.0657,42.89592,629,7.464,,0.671,88.81,0.23,0,,0.024,34,2.35,450,5190,4.49,,0.888,0.883,9.4,SME,,,3,,Mandel and Agol (2002, ApJ,580, 171),71.5,,2.49,10/25/13 0:00
5738346,K01006.01,FALSE POSITIVE,FALSE POSITIVE,19 58 36.226,+40 58 23.82,374.6241,30.6112,4190,3.1135,,1.22,87.66,0.167,0,,0.3,31,30,411,3944,4.32,,0.93,0.66,,KIC,,,1,,Mandel and Agol (2002, ApJ,580, 171),54.4,,3.25,10/25/13 0:00
5738496,K00556.01,FALSE POSITIVE,FALSE POSITIVE,19 58 43.052,+40 57 54.51,175.6679,9.501604,641,3.6771,,0.03,89.95,0.088,0,,0.023,14.8,2.2,840,5924,4.53,,0.91,1.01,0.4,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),43.2,,1.85,10/25/13 0:00
5738506,K03676.01,FALSE POSITIVE,FALSE POSITIVE,19 58 43.499,+40 58 04.52,131.9469106,9.501826286,745296,3.5,1.26179,0.1,89.82,0.088,0,,0.558,32.236,60.841,860.5,,,,1,,,,,0,1,-1,mandel-agol_geometric_transit_model,,,,7/31/13 0:00,,,
5738634,K03951.01,FALSE POSITIVE,FALSE POSITIVE,19 58 49.951,+40 55 18.87,133.2101,2.404438,72.3,3.79,0.03,0,89,0.036,0,,0.008,5,0.94,1499,,,,1.103,,,,,409,1,0.739,mandel-agol_geometric_transit_model,20,8330.82,6893.52,9/5/13 0:00,,,
5768816,K03288.01,CANDIDATE,CANDIDATE,18 52 50.786,+41 02 17.01,160.6487,47.98749,881,4.85,0.15,0.4,89.7,0.247,0,,0.027,73,2.9,489,,,,0.962,,,,,16,1,0.444,mandel-agol_geometric_transit_model,19.3,437.34,374.4,6/6/13 0:00,,,
5769810,K04913.01,CANDIDATE,CANDIDATE,18 54 42.912,+41 05 48.78,136.331,6.787968,85,2.95,1.6,0.993,73.9,0.075,0,,0.013,3.6,2.4,1350.7,,,,1.711,,,,,119,1,0.904,mandel-agol_geometric_transit_model,7.6,1787.19,1438.99,7/31/13 0:00,,,
5769943,K03810.01,FALSE POSITIVE,FALSE POSITIVE,18 55 00.095,+41 05 09.64,131.95783,1.01377673,33920,1.223,0.235,0.51,85.6,0.016,0,,0.174,6.69,11.6,1053.9,,,,0.61,,,,,87,1,0.602,mandel-agol_geometric_transit_model,102.7,627.07,615.3,7/31/13 0:00,,,
5770074,K01928.01,CANDIDATE,CANDIDATE,18 55 14.290,+41 02 28.47,169.1195,63.03814,654,7.6038,,0.81,88.81,0.313,0,,0.026,39.9,2.8,465,6000,4.48,,0.97,1.023,1.9,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),57.9,,1.24,10/25/13 0:00
5771719,K00190.01,CANDIDATE,CANDIDATE,18 58 35.728,+41 00 54.06,139.30409,12.2648616,11350,4.7121,,0.826,87.09,0.101,0,,0.111,14.82,17.2,914,5535,4.09,,1.42,0.902,14,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),1248.1,,2.68,10/25/13 0:00
5773121,K04002.01,CANDIDATE,CANDIDATE,19 01 19.570,+41 03 50.08,131.59955,0.5241781,266,0.651,0.15,0.963,62,0.012,0,,0.021,2.1,1.83,1918,,,,0.81,,,,,1502,1,0.997,mandel-agol_geometric_transit_model,20.8,6619.62,5503.9,6/6/13 0:00,,,
5774349,K00557.01,CANDIDATE,CANDIDATE,19 03 38.760,+41 04 09.98,170.7838,15.65558,942,4.017,,0.78,87.66,0.112,0,,0.031,20.1,2.64,598,5148,4.54,,0.78,0.76,13.8,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),59,,1.23,10/25/13 0:00
5775129,K02802.01,CANDIDATE,CANDIDATE,19 05 01.062,+41 01 18.73,131.9203,3.848208,226,2.0033,,0.44,88.24,0.05,0,,0.014,13.8,1.64,1297,6325,4.43,,1.08,1.14,0.61,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),19.3,,1.04,10/25/13 0:00
5779852,K00449.01,FALSE POSITIVE,FALSE POSITIVE,19 12 47.542,+41 05 39.01,240.2358,252.07751,4436,5.0983,,1.38,89.38,0.82,0,,0.45,225,54,324,6366,4.43,,1.09,1.16,0.37,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),124.9,,1.21,10/25/13 0:00
5780460,K01005.01,CANDIDATE,CANDIDATE,19 13 39.961,+41 01 47.28,197.0354,35.61758,4026,8.3784,,0.054,89.95,0.193,0,,0.056,34.3,4.8,453,5131,4.54,,0.77,0.758,13.8,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),175.8,,1.48,10/25/13 0:00
5780715,K00506.01,FALSE POSITIVE,FALSE POSITIVE,19 14 02.131,+41 05 45.20,169.96541,1.5831556,752,1.2086,,0.88,80.79,0.027,0,,0.029,5.4,3,1569,6021,4.51,,0.94,1.04,0.3,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),109.2,,1.7,10/25/13 0:00
5780855,K04443.01,CANDIDATE,CANDIDATE,19 14 16.150,+41 05 24.47,134.9136,5.675742,61.7,3.51,0.04,0.6,87,0.067,0,,0.008,10,1.16,1344,,,,1.407,,,,,174,1,0.304,mandel-agol_geometric_transit_model,10.1,3367.51,2838.73,6/6/13 0:00,,,
5780885,K00097.01,CANDIDATE,CONFIRMED,19 14 19.563,+41 05 23.31,134.276079,4.88548917,7489,5.2295,,0.514,85.94,0.061,0,,0.083,6.842,16.1,1413,5934,4.04,,1.78,1.26,4.43,SME,,,1,,Mandel and Agol (2002, ApJ,580, 171),3548.4,,1.64,10/25/13 0:00
5780930,K03412.01,CANDIDATE,CANDIDATE,19 14 23.306,+41 02 11.15,131.594,16.75258,360,3.08,0.06,0.3,90,0.112,0,,0.017,40,1.2,494.6,,,,0.641,,,,,58,1,0.836,mandel-agol_geometric_transit_model,16.3,1022.56,858.2,7/31/13 0:00,,,
5783732,K04514.01,FALSE POSITIVE,FALSE POSITIVE,19 18 12.744,+41 03 24.95,297.349,373.432,148,16.4,0.2,0,90,1.041,0,,0.011,171,1.5,292,,,,1.197,,,,,3,1,0.233,mandel-agol_geometric_transit_model,7.7,255.09,178.69,7/31/13 0:00,,,
5783938,K04734.01,FALSE POSITIVE,FALSE POSITIVE,19 18 26.580,+41 01 10.16,286.339,383.103,502,9.1,0.2,0,90,1.047,0,,0.021,326,2.1,252,,,,0.942,,,,,3,1,0.276,mandel-agol_geometric_transit_model,5.8,140.17,121.92,7/31/13 0:00,,,
5784777,K03916.01,CANDIDATE,CANDIDATE,19 19 28.967,+41 02 26.63,132.1426,5.339031,788,1.73,0.13,0.8,87,0.054,0,,0.029,15,2.4,845,,,,0.764,,,,,184,1,0.835,mandel-agol_geometric_transit_model,22.8,1909.62,1586.79,6/6/13 0:00,,,
5785279,K04259.01,CANDIDATE,CANDIDATE,19 20 02.988,+41 05 23.96,132.3828,0.909178,107,1.19,0.09,0.93,67,0.017,0,,0.012,2.4,1.17,1740,,,,0.91,,,,,1069,1,0.999,mandel-agol_geometric_transit_model,11.1,7422.4,6285.41,6/6/13 0:00,,,
5786676,K00650.01,CANDIDATE,CANDIDATE,19 21 35.083,+41 02 24.29,178.71986,11.954776,867,2.1391,,0.62,88.81,0.093,0,,0.028,35,2.3,641,5088,4.55,,0.76,0.75,13.9,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),107.8,,1.17,10/25/13 0:00
5787131,K02927.01,CANDIDATE,CANDIDATE,19 22 09.617,+41 05 34.94,134.879,24.43528,556,4.1366,,0.3,89.38,0.167,0,,0.021,43,1.8,563,5968,4.69,,0.76,1.05,,KIC,,,1,,Mandel and Agol (2002, ApJ,580, 171),14.5,,0.95,10/25/13 0:00
5790807,K00259.01,FALSE POSITIVE,FALSE POSITIVE,19 27 05.237,+41 05 53.04,207.12556,79.996223,23766,6.6285,,0.541,89.95,0.404,0,,0.145,99.26,29,617,6582,4.05,,1.83,1.38,2.47,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),1300.6,,3.03,10/25/13 0:00
