Kepler ID,KOI Name,Kepler Disposition,NExScI Disposition,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination,Transit Model,Transit Model SNR,Transit Model DOF,Transit Model chisq,Last vet Update,,,
integer,string,string,string,ra,dec,double,double,real,double,double,float,float,float,real,float,float,float,float,integer,integer,float,float,float,float,float,string,string,integer,integer,float,string,real,float,float,datetime,,,
1718189,K00993.01,CANDIDATE,CANDIDATE,19 22 54.880,+37 15 09.54,144.3174,21.85347,365,3.5258,,0.35,89.38,0.152,0,,0.018,45,1.69,617,5823,4.54,,0.88,0.986,0.4,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),24.1,,1.15,10/25/13 0:00
1718189,K00993.02,CANDIDATE,CANDIDATE,19 22 54.880,+37 15 09.54,137.6377,13.06062,218,2.9662,,0.34,89.38,0.108,0,,0.014,32,1.3,732,5823,4.54,,0.88,0.986,0.4,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),19.6,,1.14,10/25/13 0:00
1718958,K04053.01,CANDIDATE,CANDIDATE,19 23 40.642,+37 17 13.81,132.9162,1.4197764,60.8,1.517,0.011,0,88,0.025,0,,0.007,7,0.83,1762,,,,1.061,,,,,694,1,0.404,mandel-agol_geometric_transit_model,13.9,6683.62,5469.42,6/6/13 0:00,,,
1721157,K04644.01,CANDIDATE,CANDIDATE,19 25 49.761,+37 12 24.63,133.3756,3.449321,217,1.71,0.39,0.967,79,0.041,0,,0.018,4.9,1.42,921,,,,0.701,,,,,283,1,0.982,mandel-agol_geometric_transit_model,8.1,3805.65,3275.18,6/6/13 0:00,,,
1722276,K01008.01,FALSE POSITIVE,FALSE POSITIVE,19 26 47.212,+37 14 16.95,248.9238,300.00296,23325,5.6262,,2.35,89.38,0.832,0,,1.42,270,161,274,5559,4.33,,1.04,0.85,14,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),265.9,,476.95,10/25/13 0:00
1724513,K04224.01,FALSE POSITIVE,FALSE POSITIVE,19 28 39.565,+37 16 32.67,131.6259,1.975222,79.5,1.59,0.028,0.7,84,0.032,0,,0.009,7,1.3,1778,,,,1.352,,,,,492,1,0.836,mandel-agol_geometric_transit_model,12,4755.12,3961.97,9/12/13 0:00,,,
1724719,K04212.01,CANDIDATE,CANDIDATE,19 28 49.131,+37 13 16.38,133.3464,5.791957,123.1,3.58,0.3,0.93,79,0.065,0,,0.012,5,1.47,1123,,,,1.099,,,,,171,2,0.877,mandel-agol_geometric_transit_model,12.6,3585.25,2991.16,6/6/13 0:00,,,
1724719,K04212.02,CANDIDATE,CANDIDATE,19 28 49.131,+37 13 16.38,132.3133,10.09912,104,3.29,0.04,0.4,89,0.094,0,,0.009,22,1.1,933,,,,1.099,,,,,91,2,0.221,mandel-agol_geometric_transit_model,7.6,1680.6,1381.8,7/31/13 0:00,,,
1725016,K01007.01,CANDIDATE,CANDIDATE,19 29 03.098,+37 14 13.17,355.4892,7.40758,461,3.6294,,0.35,88.81,0.076,0,,0.02,14.9,2.13,901,5665,4.47,,0.99,1.06,,KIC,,,1,,Mandel and Agol (2002, ApJ,580, 171),24.1,,1.15,10/25/13 0:00
1725415,K02988.01,FALSE POSITIVE,FALSE POSITIVE,19 29 21.768,+37 16 47.50,132.06982,2.43731228,57,1.8933,,0.316,88.24,0.036,0,,0.007,9.416,0.69,1360,6029,4.51,,0.94,1.044,0.3,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),6.7,,1.15,10/25/13 0:00
